,City,Country,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
0,Dingle,PH,75,86,11.0,122.67,77.4,5.64
1,Port Hedland,AU,88,98,-20.32,118.57,78.8,5.82
2,Saskylakh,RU,90,98,71.92,114.08,-6.32,5.82
3,Chu,KZ,50,93,43.6,73.76,44.31,6.46
4,Avarua,CK,69,92,-21.21,-159.78,80.6,4.7
5,Salinópolis,BR,79,87,-0.61,-47.36,80.19,4.41
6,Nikolskoye,RU,98,36,59.7,30.79,32.0,6.71
7,Butaritari,KI,81,96,3.07,172.79,82.9,17.9
8,Kapaa,US,78,40,22.08,-159.32,78.8,11.41
9,Punta Arenas,CL,50,91,-53.15,-70.92,57.2,2.24
10,Tiznit Province,MA,63,100,29.58,-9.5,60.67,4.27
11,Cape Town,ZA,67,40,-33.93,18.42,62.6,3.36
12,Bengkulu,ID,81,86,-3.8,102.27,77.95,3.69
13,Rikitea,PF,72,99,-23.12,-134.97,76.35,4.61
14,Chokurdakh,RU,89,100,70.63,147.92,-6.81,7.72
15,Ushuaia,AR,47,20,-54.8,-68.3,55.4,4.7
16,Pacifica,US,37,20,37.61,-122.49,81.0,5.82
17,Laas,IT,60,5,46.62,10.7,59.0,3.71
18,Bluff,NZ,88,56,-46.6,168.33,50.0,11.01
19,Esperance,AU,93,90,-33.87,121.9,57.2,4.7
20,Tuatapere,NZ,88,66,-46.13,167.68,50.0,11.01
21,Włoszczowa,PL,1,0,50.85,19.97,46.0,8.5
22,Vaini,TO,94,75,-21.2,-175.2,73.4,3.36
23,Monaghan,IE,86,19,54.25,-6.97,48.99,8.05
24,Hobart,AU,63,75,-42.88,147.33,62.6,11.41
25,Puerto Ayora,EC,66,40,-0.74,-90.35,86.0,19.46
26,San Cristobal,VE,49,40,7.77,-72.22,89.6,10.29
27,Camacha,PT,77,40,33.08,-16.33,60.8,13.87
28,Tura,IN,80,100,25.52,90.22,67.48,2.48
29,Qaanaaq,GL,90,73,77.48,-69.36,10.35,2.35
30,Mataura,NZ,88,55,-46.19,168.86,50.0,11.01
31,Lodja,CD,67,40,-3.48,23.43,75.72,0.58
32,Porto-Novo,BJ,78,0,6.5,2.6,83.59,9.35
33,Cherskiy,RU,91,92,68.75,161.3,2.52,4.05
34,Lompoc,US,46,1,34.64,-120.46,78.8,8.05
35,Hilo,US,61,40,19.73,-155.09,79.0,5.82
36,Westport,US,20,40,41.14,-73.36,54.0,16.11
37,Souillac,MU,74,40,-20.52,57.52,78.8,16.11
38,Busselton,AU,62,76,-33.65,115.33,55.0,6.22
39,Bredasdorp,ZA,82,100,-34.53,20.04,60.8,3.36
40,Aklavik,CA,64,40,68.22,-135.01,39.2,2.24
41,Rio do Sul,BR,36,0,-27.21,-49.64,77.0,1.01
42,São João da Ponte,BR,77,100,-15.93,-44.01,69.51,1.41
43,Port Alfred,ZA,94,3,-33.59,26.89,61.0,1.99
44,Osoyoos,CA,25,20,49.03,-119.45,66.2,20.8
45,Vao,NC,74,67,-22.67,167.48,74.66,14.72
46,Mahébourg,MU,74,40,-20.41,57.7,78.8,16.11
47,Thompson,CA,41,40,55.74,-97.86,24.8,13.87
48,Zeya,RU,85,0,53.75,127.27,32.18,1.99
49,Altay,CN,39,98,47.87,88.12,44.02,8.32
50,Hithadhoo,MV,73,88,-0.6,73.08,84.36,10.67
51,Saint-Joseph,RE,69,8,-21.37,55.62,75.2,6.93
52,Hualmay,PE,61,12,-11.1,-77.61,78.06,8.28
53,Carnarvon,AU,50,75,-24.87,113.63,75.2,13.87
54,Hermanus,ZA,91,56,-34.42,19.23,60.01,2.39
55,Airai,TL,77,100,-8.93,125.41,61.18,1.95
56,Hobyo,SO,74,25,5.35,48.53,84.36,10.87
57,Jamestown,US,71,90,42.1,-79.24,39.2,4.7
58,Atar,MR,16,0,20.52,-13.05,78.19,6.55
59,Fare,PF,66,32,-16.7,-151.02,83.66,7.65
60,Slave Lake,CA,80,90,55.28,-114.77,33.8,5.82
61,Labuhan,ID,83,34,-6.88,112.21,78.42,3.49
62,Torbay,CA,65,90,47.67,-52.73,42.01,8.05
63,Los Llanos de Aridane,ES,60,20,28.66,-17.92,69.8,5.82
64,Morgan City,US,42,1,29.7,-91.21,69.01,13.87
65,La Ronge,CA,39,75,55.1,-105.28,30.2,16.11
66,Kruisfontein,ZA,85,100,-34.0,24.73,58.71,4.7
67,Hambantota,LK,77,40,6.12,81.12,80.96,5.08
68,Ponta do Sol,PT,77,75,32.67,-17.1,60.8,10.29
69,Phan Thiet,VN,78,4,10.93,108.1,75.38,6.89
70,Santa Maria,BR,44,0,-29.68,-53.81,61.59,5.5
71,Caravelas,BR,82,42,-17.71,-39.25,79.2,8.39
72,Makakilo City,US,65,1,21.35,-158.09,80.6,6.93
73,Albany,US,31,40,42.6,-73.97,48.99,17.22
74,Portland,US,62,75,45.52,-122.68,62.01,1.68
75,Ribeira Grande,PT,71,40,38.52,-28.7,55.4,19.46
76,Dera Ghazi Khan,PK,17,80,30.06,70.63,82.51,6.8
77,Berlevåg,NO,74,20,70.86,29.09,30.2,25.28
78,Khatanga,RU,89,0,71.97,102.5,-9.6,6.35
79,Iqaluit,CA,62,75,63.75,-68.51,24.8,19.46
80,George Town,MY,94,40,5.41,100.34,78.8,0.45
81,Muravlenko,RU,98,100,63.79,74.52,30.63,15.43
82,Beloha,MG,57,82,-25.17,45.05,79.03,9.17
83,Hilton Head,US,82,90,32.22,-80.75,64.4,12.75
84,Zabul Province,AF,26,100,32.25,67.25,51.78,5.66
85,Kidal,ML,14,100,18.44,1.41,89.1,17.34
86,Oktyabr'skoye,RU,53,96,43.06,44.74,50.0,4.47
87,Cuamba,MZ,73,0,-14.8,36.54,68.95,1.7
88,Stornoway,GB,93,64,58.21,-6.39,46.99,9.17
89,Stepnyak,KZ,70,88,52.83,70.78,41.81,13.18
90,Antofagasta,CL,68,20,-23.65,-70.4,68.0,13.87
91,Qasigiannguit,GL,50,75,68.82,-51.19,30.2,4.7
92,Shenzhen,CN,77,100,22.55,114.07,71.01,3.36
93,Salsomaggiore Terme,IT,67,0,44.81,9.98,53.01,1.74
94,New Norfolk,AU,63,75,-42.78,147.06,62.6,11.41
95,Oudtshoorn,ZA,82,99,-33.59,22.2,59.0,4.7
96,Hervey Bay,AU,88,21,-25.3,152.85,64.99,6.93
97,Geraldton,AU,77,0,-28.77,114.6,60.8,10.29
98,Nouadhibou,MR,77,5,20.93,-17.03,68.0,18.34
99,Dikson,RU,82,62,73.51,80.55,4.42,5.41
100,Tasiilaq,GL,80,75,65.61,-37.64,30.2,3.36
101,Pisco,PE,30,0,-13.7,-76.22,75.99,13.87
102,Fukuechō,JP,65,73,32.69,128.84,59.23,12.75
