,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dingle,86,PH,1586981271,75,11.0,122.67,77.4,5.64
1,Port Hedland,98,AU,1586981272,88,-20.32,118.57,78.8,5.82
2,Saskylakh,98,RU,1586981273,90,71.92,114.08,-6.32,5.82
3,Chu,93,KZ,1586981274,50,43.6,73.76,44.31,6.46
4,Avarua,92,CK,1586981275,69,-21.21,-159.78,80.6,4.7
5,Salinópolis,87,BR,1586981276,79,-0.61,-47.36,80.19,4.41
6,Nikolskoye,36,RU,1586981277,98,59.7,30.79,32.0,6.71
7,Butaritari,96,KI,1586981279,81,3.07,172.79,82.9,17.9
8,Kapaa,40,US,1586981280,78,22.08,-159.32,78.8,11.41
9,Punta Arenas,91,CL,1586981273,50,-53.15,-70.92,57.2,2.24
10,Tiznit Province,100,MA,1586981282,63,29.58,-9.5,60.67,4.27
11,Cape Town,40,ZA,1586981046,67,-33.93,18.42,62.6,3.36
12,Bengkulu,86,ID,1586981284,81,-3.8,102.27,77.95,3.69
13,Rikitea,99,PF,1586981244,72,-23.12,-134.97,76.35,4.61
14,Chokurdakh,100,RU,1586981286,89,70.63,147.92,-6.81,7.72
15,Ushuaia,20,AR,1586981243,47,-54.8,-68.3,55.4,4.7
16,Pacifica,20,US,1586981226,37,37.61,-122.49,81.0,5.82
17,Laas,5,IT,1586981290,60,46.62,10.7,59.0,3.71
18,Bluff,56,NZ,1586981248,88,-46.6,168.33,50.0,11.01
19,Esperance,90,AU,1586981114,93,-33.87,121.9,57.2,4.7
20,Tuatapere,66,NZ,1586981293,88,-46.13,167.68,50.0,11.01
21,Włoszczowa,0,PL,1586981294,1,50.85,19.97,46.0,8.5
22,Vaini,75,TO,1586981295,94,-21.2,-175.2,73.4,3.36
23,Monaghan,19,IE,1586981296,86,54.25,-6.97,48.99,8.05
24,Hobart,75,AU,1586981193,63,-42.88,147.33,62.6,11.41
25,Puerto Ayora,40,EC,1586981299,66,-0.74,-90.35,86.0,19.46
26,San Cristobal,40,VE,1586980741,49,7.77,-72.22,89.6,10.29
27,Camacha,40,PT,1586981301,77,33.08,-16.33,60.8,13.87
